'2019-07-18T17:40:11.391': {'opt': '50 00', 'bar': '27 0a 00 48 89 01', 'temp': 'f8 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'ce ff 21 01 ac 00 57 00 18 00 e5 f7 c4 01 93 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:17.094': {'opt': '48 00', 'bar': '27 0a 00 48 89 01', 'temp': 'f8 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '9d ff 35 01 ca 00 5a 00 1c 00 04 f8 bd 01 90 ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:22.798': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': 'e4 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'a4 ff 2a 01 b3 00 5b 00 12 00 ed f7 c3 01 96 ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:28.502': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': '0c 0b e4 0c', 'hum': '34 66 fc 5f', 'mov': 'b5 ff 34 01 bd 00 59 00 17 00 e2 f7 cd 01 8d ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:34.254': {'opt': '50 00', 'bar': '26 0a 00 4c 89 01', 'temp': '0c 0b e4 0c', 'hum': '34 66 fc 5f', 'mov': 'c0 ff 21 01 ad 00 54 00 15 00 eb f7 bd 01 89 ff fb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:39.958': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': '10 0b e4 0c', 'hum': '34 66 fc 5f', 'mov': '94 ff 21 01 cd 00 51 00 0e 00 f6 f7 c9 01 89 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:45.663': {'opt': '50 00', 'bar': '25 0a 00 43 89 01', 'temp': 'f4 0a e4 0c', 'hum': '2c 66 fc 5f', 'mov': 'a2 ff 3d 01 c1 00 64 00 0e 00 eb f7 bf 01 95 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:51.366': {'opt': '50 00', 'bar': '25 0a 00 44 89 01', 'temp': '00 0b e4 0c', 'hum': '2c 66 fc 5f', 'mov': '9e ff 1d 01 c1 00 57 00 1c 00 f5 f7 cd 01 91 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:57.070': {'opt': '50 00', 'bar': '27 0a 00 47 89 01', 'temp': 'f4 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '9d ff 2e 01 d6 00 59 00 0e 00 df f7 be 01 91 ff f9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:41:02.774': {'opt': '50 00', 'bar': '26 0a 00 46 89 01', 'temp': 'ec 0a e4 0c', 'hum': '38 66 fc 5f', 'mov': '77 ff 1c 01 bf 00 57 00 0c 00 ed f7 c4 01 8e ff 01 ff', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:41:08.477': {'opt': '50 00', 'bar': '25 0a 00 45 89 01', 'temp': 'e4 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'a4 ff 2c 01 bc 00 49 00 1f 00 ef f7 c1 01 9b ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:41:14.204': {'opt': '50 00', 'bar': '26 0a 00 46 89 01', 'temp': '6c 0b e4 0c', 'hum': '2c 66 fc 5f', 'mov': 'ac ff 4d 01 bc 00 50 00 19 00 ed f7 96 01 f5 ff 45 fe', 'MAC': '54:6C:0E:53:00:97'}
